Front	Back	Tags
Creation of the heavens and the earth	Genesis 1–2	BibleStories::OT::Genesis
God places Adam in the Garden of Eden	Genesis 2	BibleStories::OT::Genesis
The serpent tempts Eve and Adam and Eve fall	Genesis 3	BibleStories::OT::Genesis
Cain kills Abel	Genesis 4	BibleStories::OT::Genesis
Noah builds the ark and the flood comes	Genesis 6–8	BibleStories::OT::Genesis
God makes a covenant with Noah and gives the rainbow	Genesis 9	BibleStories::OT::Genesis
The Tower of Babel	Genesis 11	BibleStories::OT::Genesis
God calls Abram to leave his country	Genesis 12	BibleStories::OT::Genesis
Abram and Lot separate	Genesis 13	BibleStories::OT::Genesis
Abram rescues Lot and meets Melchizedek	Genesis 14	BibleStories::OT::Genesis
God makes a covenant with Abram	Genesis 15	BibleStories::OT::Genesis
Hagar and the birth of Ishmael	Genesis 16	BibleStories::OT::Genesis
Abram becomes Abraham and receives circumcision	Genesis 17	BibleStories::OT::Genesis
Three visitors promise Abraham and Sarah a son	Genesis 18	BibleStories::OT::Genesis
Abraham intercedes for Sodom	Genesis 18	BibleStories::OT::Genesis
Sodom and Gomorrah are destroyed and Lot escapes	Genesis 19	BibleStories::OT::Genesis
Isaac is born	Genesis 21	BibleStories::OT::Genesis
Hagar and Ishmael are sent away	Genesis 21	BibleStories::OT::Genesis
Abraham is commanded to sacrifice Isaac	Genesis 22	BibleStories::OT::Genesis
Abraham's servant finds Rebekah for Isaac	Genesis 24	BibleStories::OT::Genesis
Esau sells his birthright to Jacob	Genesis 25	BibleStories::OT::Genesis
Jacob deceives Isaac and receives Esau's blessing	Genesis 27	BibleStories::OT::Genesis
Jacob dreams of the ladder to heaven	Genesis 28	BibleStories::OT::Genesis
Jacob meets Rachel and works for Laban	Genesis 29	BibleStories::OT::Genesis
Jacob marries Leah and Rachel	Genesis 29–30	BibleStories::OT::Genesis
Jacob leaves Laban	Genesis 31	BibleStories::OT::Genesis
Jacob wrestles with God and is named Israel	Genesis 32	BibleStories::OT::Genesis
Jacob and Esau are reconciled	Genesis 33	BibleStories::OT::Genesis
Joseph dreams of ruling over his family	Genesis 37	BibleStories::OT::Genesis
Joseph is sold into slavery by his brothers	Genesis 37	BibleStories::OT::Genesis
Judah and Tamar	Genesis 38	BibleStories::OT::Genesis
Joseph resists Potiphar's wife and is imprisoned	Genesis 39	BibleStories::OT::Genesis
Joseph interprets the cupbearer's and baker's dreams	Genesis 40	BibleStories::OT::Genesis
Joseph interprets Pharaoh's dreams and is exalted	Genesis 41	BibleStories::OT::Genesis
Joseph's brothers come to Egypt for grain	Genesis 42–44	BibleStories::OT::Genesis
Joseph reveals himself to his brothers	Genesis 45	BibleStories::OT::Genesis
Jacob's family moves to Egypt	Genesis 46–47	BibleStories::OT::Genesis
Jacob blesses Joseph's sons and his twelve sons	Genesis 48–49	BibleStories::OT::Genesis
Joseph forgives his brothers and dies in Egypt	Genesis 50	BibleStories::OT::Genesis
Israel is enslaved in Egypt	Exodus 1	BibleStories::OT::Exodus
The birth and rescue of Moses	Exodus 2	BibleStories::OT::Exodus
Moses kills an Egyptian and flees to Midian	Exodus 2	BibleStories::OT::Exodus
God calls Moses from the burning bush	Exodus 3–4	BibleStories::OT::Exodus
Moses and Aaron confront Pharaoh	Exodus 5–6	BibleStories::OT::Exodus
The ten plagues on Egypt	Exodus 7–11	BibleStories::OT::Exodus
The first Passover	Exodus 12	BibleStories::OT::Exodus
The Exodus from Egypt	Exodus 12–13	BibleStories::OT::Exodus
Israel crosses the Red Sea	Exodus 14	BibleStories::OT::Exodus
Miriam and Israel sing after crossing the sea	Exodus 15	BibleStories::OT::Exodus
God provides manna and quail	Exodus 16	BibleStories::OT::Exodus
Moses strikes the rock and water comes out	Exodus 17	BibleStories::OT::Exodus
Israel fights Amalek while Moses raises his hands	Exodus 17	BibleStories::OT::Exodus
Jethro advises Moses to appoint judges	Exodus 18	BibleStories::OT::Exodus
God descends on Mount Sinai	Exodus 19	BibleStories::OT::Exodus
God gives the Ten Commandments	Exodus 20	BibleStories::OT::Exodus
Israel makes and worships the golden calf	Exodus 32	BibleStories::OT::Exodus
Moses intercedes for Israel after the golden calf	Exodus 32–34	BibleStories::OT::Exodus
Moses sees the LORD's glory	Exodus 33–34	BibleStories::OT::Exodus
God's glory fills the tabernacle	Exodus 40	BibleStories::OT::Exodus
Nadab and Abihu offer unauthorized fire and die	Leviticus 10	BibleStories::OT::Leviticus
The twelve spies explore Canaan	Numbers 13	BibleStories::OT::Numbers
Israel refuses to enter Canaan and is sentenced to wander	Numbers 14	BibleStories::OT::Numbers
Korah's rebellion	Numbers 16	BibleStories::OT::Numbers
Aaron's staff buds	Numbers 17	BibleStories::OT::Numbers
Moses strikes the rock at Meribah	Numbers 20	BibleStories::OT::Numbers
The bronze serpent	Numbers 21	BibleStories::OT::Numbers
Balaam's donkey speaks	Numbers 22	BibleStories::OT::Numbers
Balaam blesses Israel instead of cursing them	Numbers 23–24	BibleStories::OT::Numbers
Israel sins with Baal of Peor and Phinehas intervenes	Numbers 25	BibleStories::OT::Numbers
The daughters of Zelophehad ask for an inheritance	Numbers 27	BibleStories::OT::Numbers
Joshua is commissioned to succeed Moses	Numbers 27	BibleStories::OT::Numbers
Moses views the Promised Land and dies	Deuteronomy 34	BibleStories::OT::Deuteronomy
Rahab hides the Israelite spies	Joshua 2	BibleStories::OT::Joshua
Israel crosses the Jordan River on dry ground	Joshua 3–4	BibleStories::OT::Joshua
Israel marches around Jericho and the walls fall	Joshua 6	BibleStories::OT::Joshua
Achan's sin brings defeat at Ai	Joshua 7	BibleStories::OT::Joshua
Israel defeats Ai	Joshua 8	BibleStories::OT::Joshua
The Gibeonites deceive Israel into making a treaty	Joshua 9	BibleStories::OT::Joshua
The sun stands still during Joshua's battle	Joshua 10	BibleStories::OT::Joshua
Joshua renews the covenant at Shechem	Joshua 24	BibleStories::OT::Joshua
Ehud kills King Eglon	Judges 3	BibleStories::OT::Judges
Deborah and Barak defeat Sisera	Judges 4–5	BibleStories::OT::Judges
Jael kills Sisera with a tent peg	Judges 4	BibleStories::OT::Judges
God calls Gideon	Judges 6	BibleStories::OT::Judges
Gideon's fleece	Judges 6	BibleStories::OT::Judges
Gideon's 300 defeat the Midianites	Judges 7	BibleStories::OT::Judges
Jephthah's vow and his daughter	Judges 11	BibleStories::OT::Judges
The birth of Samson is announced	Judges 13	BibleStories::OT::Judges
Samson kills a lion and gives his riddle	Judges 14	BibleStories::OT::Judges
Samson fights the Philistines with a donkey's jawbone	Judges 15	BibleStories::OT::Judges
Samson and Delilah	Judges 16	BibleStories::OT::Judges
Samson pulls down the Philistine temple	Judges 16	BibleStories::OT::Judges
The Levite's concubine and Israel's civil war	Judges 19–21	BibleStories::OT::Judges
Ruth refuses to leave Naomi	Ruth 1	BibleStories::OT::Ruth
Ruth gleans in Boaz's field	Ruth 2	BibleStories::OT::Ruth
Ruth asks Boaz to act as redeemer	Ruth 3	BibleStories::OT::Ruth
Boaz redeems and marries Ruth	Ruth 4	BibleStories::OT::Ruth
Hannah prays for a son and Samuel is born	1 Samuel 1	BibleStories::OT::1Samuel
The LORD calls the boy Samuel	1 Samuel 3	BibleStories::OT::1Samuel
The Philistines capture the ark	1 Samuel 4	BibleStories::OT::1Samuel
The ark topples Dagon and afflicts the Philistines	1 Samuel 5	BibleStories::OT::1Samuel
The Philistines return the ark to Israel	1 Samuel 6	BibleStories::OT::1Samuel
Israel asks Samuel for a king	1 Samuel 8	BibleStories::OT::1Samuel
Saul is chosen and anointed king	1 Samuel 9–10	BibleStories::OT::1Samuel
Jonathan attacks the Philistines	1 Samuel 13–14	BibleStories::OT::1Samuel
Saul disobeys God concerning Amalek	1 Samuel 15	BibleStories::OT::1Samuel
Samuel anoints David	1 Samuel 16	BibleStories::OT::1Samuel
David and Goliath	1 Samuel 17	BibleStories::OT::1Samuel
Saul becomes jealous of David	1 Samuel 18–19	BibleStories::OT::1Samuel
David and Jonathan make a covenant	1 Samuel 18–20	BibleStories::OT::1Samuel
David spares Saul in the cave	1 Samuel 24	BibleStories::OT::1Samuel
Abigail stops David from killing Nabal	1 Samuel 25	BibleStories::OT::1Samuel
David spares Saul again in the camp	1 Samuel 26	BibleStories::OT::1Samuel
Saul consults the medium at Endor	1 Samuel 28	BibleStories::OT::1Samuel
Saul and Jonathan die in battle	1 Samuel 31	BibleStories::OT::1Samuel
David becomes king over all Israel	2 Samuel 5	BibleStories::OT::2Samuel
David captures Jerusalem	2 Samuel 5	BibleStories::OT::2Samuel
Uzzah dies touching the ark and David brings the ark to Jerusalem	2 Samuel 6	BibleStories::OT::2Samuel
David dances before the LORD as the ark enters Jerusalem	2 Samuel 6	BibleStories::OT::2Samuel
God makes a covenant with David	2 Samuel 7	BibleStories::OT::2Samuel
David shows kindness to Mephibosheth	2 Samuel 9	BibleStories::OT::2Samuel
David commits adultery with Bathsheba and has Uriah killed	2 Samuel 11	BibleStories::OT::2Samuel
Nathan confronts David with the story of the ewe lamb	2 Samuel 12	BibleStories::OT::2Samuel
Amnon assaults Tamar and Absalom kills Amnon	2 Samuel 13	BibleStories::OT::2Samuel
Absalom rebels against David	2 Samuel 15–18	BibleStories::OT::2Samuel
Absalom dies	2 Samuel 18	BibleStories::OT::2Samuel
David's census brings a plague	2 Samuel 24	BibleStories::OT::2Samuel
Solomon asks God for wisdom	1 Kings 3	BibleStories::OT::1Kings
Solomon judges between two women claiming one baby	1 Kings 3	BibleStories::OT::1Kings
Solomon builds the temple	1 Kings 5–7	BibleStories::OT::1Kings
Solomon dedicates the temple	1 Kings 8	BibleStories::OT::1Kings
The Queen of Sheba visits Solomon	1 Kings 10	BibleStories::OT::1Kings
Solomon's wives turn his heart toward idols	1 Kings 11	BibleStories::OT::1Kings
The kingdom divides under Rehoboam and Jeroboam	1 Kings 12	BibleStories::OT::1Kings
Elijah announces drought and is fed by ravens	1 Kings 17	BibleStories::OT::1Kings
Elijah and the widow of Zarephath	1 Kings 17	BibleStories::OT::1Kings
Elijah raises the widow's son	1 Kings 17	BibleStories::OT::1Kings
Elijah confronts the prophets of Baal on Mount Carmel	1 Kings 18	BibleStories::OT::1Kings
