Front	Back	Tags
Genesis	God creates the world, humanity falls into sin, and God begins His covenant plan of redemption through Abraham and his descendants, promising blessing, offspring, land, and ultimately a coming deliverer.	OT::Pentateuch
Exodus	God redeems Israel from slavery in Egypt, makes covenant with them at Sinai, gives His law, and dwells among them in the tabernacle as their holy covenant Lord.	OT::Pentateuch
Leviticus	The holy God teaches His redeemed people how sinful people may dwell in His presence through sacrifice, priesthood, cleansing, holiness, and atonement.	OT::Pentateuch
Numbers	Israel repeatedly rebels and fails to trust God in the wilderness, yet God remains faithful to His covenant promises and preserves a new generation to enter the promised land.	OT::Pentateuch
Deuteronomy	Moses renews the covenant with Israel before they enter Canaan, calling them to love and obey the LORD wholeheartedly while warning of judgment for rebellion and promising restoration after exile.	OT::Pentateuch
Joshua	God faithfully gives Israel the promised land under Joshua, demonstrating both His judgment on sin and His covenant faithfulness while calling Israel to wholehearted obedience.	OT::Historical_Books
Judges	Israel repeatedly abandons the LORD, suffers oppression, cries for rescue, and is delivered through flawed judges, revealing the nation’s deep need for a righteous king.	OT::Historical_Books
Ruth	God providentially works through the covenant faithfulness of Ruth and Boaz to preserve the family line that leads to David and ultimately to the Messiah.	OT::Historical_Books
1 Samuel	Israel transitions from judges to monarchy as God rejects Saul’s disobedient kingship and raises up David, the king after His own heart, through whom His purposes will advance.	OT::Historical_Books
2 Samuel	David’s kingdom is established and God promises him an enduring dynasty, but David’s sin and its consequences reveal the need for a greater and perfectly righteous Son of David.	OT::Historical_Books
1 Kings	Solomon builds the temple and Israel reaches great prosperity, but idolatry divides the kingdom and both Israel and Judah begin a downward course of covenant unfaithfulness.	OT::Historical_Books
2 Kings	Despite repeated prophetic warnings, Israel and Judah persist in idolatry and covenant rebellion until God sends both kingdoms into exile, while preserving hope through the Davidic line.	OT::Historical_Books
1 Chronicles	Israel’s history is retold with special emphasis on David, the temple, worship, and God’s covenant promises, encouraging the restored community to center its life on faithful worship of the LORD.	OT::Historical_Books
2 Chronicles	The history of Judah’s kings and temple shows that seeking the LORD brings blessing while persistent covenant unfaithfulness brings exile, yet the book ends with hope of restoration.	OT::Historical_Books
Ezra	God sovereignly restores a remnant from exile to Jerusalem to rebuild the temple and renew covenant faithfulness through the ministry of Ezra.	OT::Historical_Books
Nehemiah	God enables Jerusalem’s walls to be rebuilt and the covenant community to be reordered around His law, while exposing the people’s continuing need for deeper spiritual renewal.	OT::Historical_Books
Esther	Though God is never named, His providence preserves His covenant people from destruction in Persia and reverses the schemes of their enemies.	OT::Historical_Books
Job	The suffering of righteous Job explores the mystery of undeserved suffering, rejecting simplistic explanations and calling people to trust the wisdom and sovereignty of God beyond what they can understand.	OT::Wisdom_Poetry
Psalms	Israel’s inspired songs teach God’s people to worship, lament, repent, trust, and hope in the LORD and in His anointed King through every circumstance of life.	OT::Wisdom_Poetry
Proverbs	True wisdom begins with the fear of the LORD and applies God-centered moral insight to speech, work, money, relationships, sexuality, discipline, and the ordinary choices of life.	OT::Wisdom_Poetry
Ecclesiastes	Life under the sun is fleeting and unable to provide lasting meaning apart from God, so people should fear God, receive His gifts gratefully, and keep His commandments.	OT::Wisdom_Poetry
Song of Solomon	The Song celebrates the goodness, delight, exclusivity, and covenant faithfulness of marital love between a man and a woman.	OT::Wisdom_Poetry
Isaiah	The Holy One of Israel judges His sinful people and the nations, yet promises salvation through the coming Davidic King and suffering Servant who will bear sin and bring a new creation.	OT::Major_Prophets
Jeremiah	Judah’s persistent covenant rebellion makes judgment and exile unavoidable, yet God promises a new covenant in which He will forgive His people and write His law on their hearts.	OT::Major_Prophets
Lamentations	Jerusalem’s destruction is mourned as the just consequence of sin, yet amid terrible judgment the prophet clings to the LORD’s compassion, faithfulness, and hope of restoration.	OT::Major_Prophets
Ezekiel	God judges Jerusalem and the nations for sin and vindicates His holy name, yet promises to gather, cleanse, regenerate, and shepherd His people and dwell with them again.	OT::Major_Prophets
Daniel	God sovereignly rules over earthly kingdoms, preserves His faithful servants in exile, and promises an everlasting kingdom that will ultimately be given to the Son of Man and His saints.	OT::Major_Prophets
Hosea	Hosea’s troubled marriage portrays Israel’s spiritual adultery, while God’s persistent covenant love promises judgment, restoration, and renewed relationship with His unfaithful people.	OT::Minor_Prophets
Joel	A devastating locust plague foreshadows the day of the LORD, calling God’s people to repentance while promising restoration, the outpouring of God’s Spirit, and final deliverance.	OT::Minor_Prophets
Amos	God condemns Israel’s injustice, hypocrisy, and complacency, warning that covenant privilege will not prevent judgment while promising eventual restoration of David’s fallen kingdom.	OT::Minor_Prophets
Obadiah	God judges proud Edom for violence against Judah and promises that the day of the LORD will bring justice on the nations and establish the LORD’s kingdom.	OT::Minor_Prophets
Jonah	God sends a reluctant prophet to Nineveh to display His sovereign compassion toward repentant sinners among the nations and to expose Jonah’s narrow and self-righteous heart.	OT::Minor_Prophets
Micah	God indicts Israel and Judah for idolatry, injustice, and corrupt leadership, yet promises forgiveness, restoration, and a ruler from Bethlehem who will shepherd His people in peace.	OT::Minor_Prophets
Nahum	God announces the certain destruction of violent and arrogant Nineveh, comforting His oppressed people with the truth that the LORD is both just and a refuge for those who trust Him.	OT::Minor_Prophets
Habakkuk	The prophet wrestles with how a holy God can use wicked Babylon to judge Judah and learns that the righteous must live by faith while awaiting God’s certain justice.	OT::Minor_Prophets
Zephaniah	The coming day of the LORD will bring sweeping judgment on Judah and the nations, yet God will preserve and rejoice over a humble remnant whom He restores.	OT::Minor_Prophets
Haggai	Haggai calls the returned exiles to put God first by rebuilding the temple and encourages them with the promise that God is with them and greater glory is still to come.	OT::Minor_Prophets
Zechariah	Through visions and prophecies, God encourages the restored community to repent and rebuild while promising a coming humble King, a pierced shepherd, cleansing from sin, and the LORD’s final reign.	OT::Minor_Prophets
Malachi	God confronts post-exilic Israel’s corrupt worship and covenant unfaithfulness and promises that the Lord and His messenger will come to purify, judge, and restore His people.	OT::Minor_Prophets
