Front	Back	Tags
Matthew	Jesus is the promised Messiah and King who fulfills the Old Testament, inaugurates the kingdom of heaven, teaches His disciples how to live, and gives His life and rises again to save His people.	NT::Gospels
Mark	Jesus is the Son of God and suffering Servant whose authority reveals His identity, and who gives His life as a ransom, rises from the dead, and calls His followers to costly discipleship.	NT::Gospels
Luke	Jesus is the Spirit-anointed Savior who fulfills God’s promises, seeks and saves the lost, brings salvation to both Israel and the nations, and accomplishes redemption through His death and resurrection.	NT::Gospels
John	Jesus is the eternal Son of God and promised Christ whose signs, teaching, death, and resurrection reveal His glory so that those who believe in Him may have eternal life.	NT::Gospels
Acts	The risen Christ advances His gospel by the Holy Spirit through His witnesses from Jerusalem to Rome, forming a multiethnic church and overcoming persecution and opposition.	NT::History
Romans	Paul explains the gospel: all people are under sin, God justifies sinners by grace through faith in Christ, and those united to Christ are transformed by the Spirit to live for God’s glory.	NT::Pauline_Epistles
1 Corinthians	Paul applies the gospel of the crucified and risen Christ to a divided and disorderly church, calling believers to unity, holiness, love, faithful worship, and hope in the resurrection.	NT::Pauline_Epistles
2 Corinthians	Paul defends the authenticity of his apostolic ministry, showing that Christ’s power is displayed through weakness, suffering, reconciliation, generosity, and faithful endurance.	NT::Pauline_Epistles
Galatians	Paul defends justification by faith in Christ apart from works of the law and teaches that Christian freedom produces a Spirit-led life rather than slavery to either legalism or the flesh.	NT::Pauline_Epistles
Ephesians	God is uniting all things in Christ, saving sinners by grace and creating one new people in Him, who are therefore called to walk in unity, holiness, love, and spiritual strength.	NT::Pauline_Epistles
Philippians	Paul calls believers to joyful, steadfast partnership in the gospel by following Christ’s humility, trusting in righteousness through faith, and learning contentment in every circumstance.	NT::Pauline_Epistles
Colossians	Christ is supreme over creation and the church and fully sufficient for salvation, so believers must reject teachings that diminish Him and live according to their new life in Him.	NT::Pauline_Epistles
1 Thessalonians	Paul encourages a young persecuted church to persevere in faith, grow in holiness and love, and live in confident hope of Christ’s return and the resurrection of His people.	NT::Pauline_Epistles
2 Thessalonians	Paul urges believers to endure persecution, corrects confusion about the day of the Lord, and calls them to remain steadfast, discerning, and faithful in ordinary work while awaiting Christ.	NT::Pauline_Epistles
1 Timothy	Paul instructs Timothy to guard sound doctrine and establish godly order in the church through faithful teaching, prayer, qualified leadership, holy conduct, and proper care for God’s people.	NT::Pauline_Epistles
2 Timothy	Paul gives Timothy a final charge to guard the gospel, endure suffering, pass the truth to faithful people, and preach the Word faithfully in the face of opposition and apostasy.	NT::Pauline_Epistles
Titus	Paul instructs Titus to establish qualified church leadership and teach sound doctrine that produces godliness, good works, and lives visibly transformed by the grace of God.	NT::Pauline_Epistles
Philemon	Paul shows how the gospel transforms human relationships by appealing to Philemon to receive the converted Onesimus not merely as a slave but as a beloved brother in Christ.	NT::Pauline_Epistles
Hebrews	Jesus is the final and superior revelation of God—the greater priest, sacrifice, and mediator of the new covenant—so believers must persevere in faith rather than turn away from Him.	NT::General_Epistles
James	Genuine saving faith inevitably shows itself in a life of obedience, perseverance, self-control, impartial love, and practical righteousness.	NT::General_Epistles
1 Peter	Peter encourages believers living as exiles to endure suffering with holiness and hope because they have been born again through Christ and await an imperishable inheritance.	NT::General_Epistles
2 Peter	Peter urges believers to grow in the knowledge and holiness of Christ, resist corrupt false teachers, and trust the certainty of Christ’s return, final judgment, and the new creation.	NT::General_Epistles
1 John	John gives believers assurance of eternal life by showing that genuine faith confesses the true Christ and produces obedience, love for other believers, and perseverance in the truth.	NT::General_Epistles
2 John	John calls believers to walk together in truth and love while refusing to support deceivers who deny the true incarnation and teaching of Jesus Christ.	NT::General_Epistles
3 John	John commends faithful hospitality toward gospel workers, condemns Diotrephes’s selfish abuse of authority, and urges believers to imitate what is good.	NT::General_Epistles
Jude	Jude urges believers to contend for the faith once for all delivered to the saints against ungodly false teachers, remembering God’s judgment and persevering in His love.	NT::General_Epistles
Revelation	The risen Christ, the conquering Lamb, sovereignly rules history, judges evil, preserves His church through suffering, and will return to establish the new creation in which God dwells forever with His people.	NT::Prophecy
